Record_Date,Security_Type_Description,Security_Class_Description,Debt_Held_by_the_PublicM,Intragovernmental_HoldingsM,Total_Public_Debt_OutstandingM,Source_Line_Number,Fiscal_Year,Fiscal_Quarter_Number,Calendar_Year,Calendar_Quarter_Number,Calendar_Month_Number,Calendar_Day_Number
30/04/2021,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,3,2021,2,4,30
30/04/2021,Total Marketable,_,21434152.28,22701.65716,21456853.94,7,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,Domestic Series,53075.30189,0,53075.30189,8,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,State and Local Government Series,123707.6397,0,123707.6397,10,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,United States Savings Securities,145269.2873,0,145269.2873,11,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,Government Account Series,296675.1252,6095957.522,6392632.647,12,2021,3,2021,2,4,30
30/04/2021,Nonmarketable,Other,2911.145675,0,2911.145675,13,2021,3,2021,2,4,30
30/04/2021,Total Nonmarketable,_,621902.8417,6095957.522,6717861.364,14,2021,3,2021,2,4,30
30/04/2021,Total Public Debt Outstanding,_,22056055.12,6118659.179,28174714.3,15,2021,3,2021,2,4,30
31/03/2021,Marketable,Bills,4667845.947,1192.565,4669038.512,1,2021,2,2021,1,3,31
31/03/2021,Marketable,Notes,11590088.13,7128.8776,11597217.01,2,2021,2,2021,1,3,31
31/03/2021,Marketable,Bonds,3000423.407,5891.1185,3006314.526,3,2021,2,2021,1,3,31
31/03/2021,Marketable,Treasury Inflation-Protected Securities,1581332.828,642.9384142,1581975.767,4,2021,2,2021,1,3,31
31/03/2021,Marketable,Floating Rate Notes,526209.9892,82.301,526292.2902,5,2021,2,2021,1,3,31
31/03/2021,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,3,31
31/03/2021,Total Marketable,_,21365900.3,22199.65751,21388099.96,7,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,Domestic Series,53074.95195,0,53074.95195,8,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,State and Local Government Series,121683.9533,0,121683.9533,10,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,United States Savings Securities,145792.8793,0,145792.8793,11,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,Government Account Series,297423.1558,6123431.897,6420855.053,12,2021,2,2021,1,3,31
31/03/2021,Nonmarketable,Other,2798.906398,0,2798.906398,13,2021,2,2021,1,3,31
31/03/2021,Total Nonmarketable,_,621038.1887,6123431.897,6744470.086,14,2021,2,2021,1,3,31
31/03/2021,Total Public Debt Outstanding,_,21986939.49,6145631.554,28132570.05,15,2021,2,2021,1,3,31
28/02/2021,Marketable,Bills,4857868.186,1164.665,4859032.851,1,2021,2,2021,1,2,28
28/02/2021,Marketable,Notes,11305192.44,7083.5036,11312275.94,2,2021,2,2021,1,2,28
28/02/2021,Marketable,Bonds,2913929.476,5738.9135,2919668.39,3,2021,2,2021,1,2,28
28/02/2021,Marketable,Treasury Inflation-Protected Securities,1559327.588,661.0014141,1559988.59,4,2021,2,2021,1,2,28
28/02/2021,Marketable,Floating Rate Notes,500225.8576,66.392,500292.2496,5,2021,2,2021,1,2,28
28/02/2021,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,2,28
28/02/2021,Total Marketable,_,21136543.54,21976.33251,21158519.88,7,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,Domestic Series,53074.48537,0,53074.48537,8,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,State and Local Government Series,117108.5378,0,117108.5378,10,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,United States Savings Securities,146319.8756,0,146319.8756,11,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,Government Account Series,299601.1967,6124649.917,6424251.114,12,2021,2,2021,1,2,28
28/02/2021,Nonmarketable,Other,2825.845897,0,2825.845897,13,2021,2,2021,1,2,28
28/02/2021,Total Nonmarketable,_,619194.2834,6124649.917,6743844.2,14,2021,2,2021,1,2,28
28/02/2021,Total Public Debt Outstanding,_,21755736.83,6146627.249,27902364.08,15,2021,2,2021,1,2,28
31/01/2021,Marketable,Bills,4953848.838,1101.32,4954950.158,1,2021,2,2021,1,1,31
31/01/2021,Marketable,Notes,11165664.03,7097.7389,11172761.77,2,2021,2,2021,1,1,31
31/01/2021,Marketable,Bonds,2859903.313,5802.1768,2865705.49,3,2021,2,2021,1,1,31
31/01/2021,Marketable,Treasury Inflation-Protected Securities,1549100.683,683.1418652,1549783.825,4,2021,2,2021,1,1,31
31/01/2021,Marketable,Floating Rate Notes,498489.6934,12.675,498502.3684,5,2021,2,2021,1,1,31
31/01/2021,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,2,2021,1,1,31
31/01/2021,Total Marketable,_,21027006.56,21958.90957,21048965.47,7,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,Domestic Series,53073.56388,0,53073.56388,8,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,State and Local Government Series,114582.8291,0,114582.8291,10,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,United States Savings Securities,146655.0925,0,146655.0925,11,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,Government Account Series,299532.202,6118678.847,6418212.049,12,2021,2,2021,1,1,31
31/01/2021,Nonmarketable,Other,2800.20362,0,2800.20362,13,2021,2,2021,1,1,31
31/01/2021,Total Nonmarketable,_,616908.2331,6118678.847,6735588.08,14,2021,2,2021,1,1,31
31/01/2021,Total Public Debt Outstanding,_,21643914.79,6140637.756,27784552.55,15,2021,2,2021,1,1,31
31/12/2020,Marketable,Bills,4963056.109,1083.746,4964139.855,1,2021,1,2020,4,12,31
31/12/2020,Marketable,Notes,11084743.84,7180.3536,11091924.19,2,2021,1,2020,4,12,31
31/12/2020,Marketable,Bonds,2833624.802,5668.1018,2839292.904,3,2021,1,2020,4,12,31
31/12/2020,Marketable,Treasury Inflation-Protected Securities,1578599.113,670.9899755,1579270.102,4,2021,1,2020,4,12,31
31/12/2020,Marketable,Floating Rate Notes,498498.6634,3.705,498502.3684,5,2021,1,2020,4,12,31
31/12/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,12,31
31/12/2020,Total Marketable,_,20958522.53,21868.75338,20980391.28,7,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,Domestic Series,111112.0543,0,111112.0543,8,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,State and Local Government Series,115785.7284,0,115785.7284,10,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,United States Savings Securities,147129.6791,0,147129.6791,11,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,Government Account Series,296811.9899,6093509.858,6390321.847,12,2021,1,2020,4,12,31
31/12/2020,Nonmarketable,Other,2792.589824,0,2792.589824,13,2021,1,2020,4,12,31
31/12/2020,Total Nonmarketable,_,673896.3835,6093509.858,6767407.241,14,2021,1,2020,4,12,31
31/12/2020,Total Public Debt Outstanding,_,21632418.91,6115378.611,27747797.52,15,2021,1,2020,4,12,31
30/11/2020,Marketable,Bills,4942664.078,999.43,4943663.508,1,2021,1,2020,4,11,30
30/11/2020,Marketable,Notes,10911912.19,7223.6821,10919135.88,2,2021,1,2020,4,11,30
30/11/2020,Marketable,Bonds,2781069.192,5550.0978,2786619.289,3,2021,1,2020,4,11,30
30/11/2020,Marketable,Treasury Inflation-Protected Securities,1560512.142,714.7435318,1561226.886,4,2021,1,2020,4,11,30
30/11/2020,Marketable,Floating Rate Notes,474499.7736,2.49,474502.2636,5,2021,1,2020,4,11,30
30/11/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,11,30
30/11/2020,Total Marketable,_,20670657.38,21752.30043,20692409.68,7,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,Domestic Series,111107.5474,0,111107.5474,8,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,State and Local Government Series,116268.8126,0,116268.8126,10,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,United States Savings Securities,147882.0007,0,147882.0007,11,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,Government Account Series,300591.1305,6075064.37,6375654.501,12,2021,1,2020,4,11,30
30/11/2020,Nonmarketable,Other,2700.353003,0,2700.353003,13,2021,1,2020,4,11,30
30/11/2020,Total Nonmarketable,_,678814.1862,6075064.37,6753878.556,14,2021,1,2020,4,11,30
30/11/2020,Total Public Debt Outstanding,_,21349471.56,6096816.67,27446288.23,15,2021,1,2020,4,11,30
31/10/2020,Marketable,Bills,4984441.092,898.435,4985339.527,1,2021,1,2020,4,10,31
31/10/2020,Marketable,Notes,10721510.75,7690.8788,10729201.63,2,2021,1,2020,4,10,31
31/10/2020,Marketable,Bonds,2691618.335,5517.8298,2697136.165,3,2021,1,2020,4,10,31
31/10/2020,Marketable,Treasury Inflation-Protected Securities,1544238.726,725.1520184,1544963.878,4,2021,1,2020,4,10,31
31/10/2020,Marketable,Floating Rate Notes,478315.3991,8.5,478323.8991,5,2021,1,2020,4,10,31
31/10/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,1,2020,4,10,31
31/10/2020,Total Marketable,_,20420124.31,22102.65262,20442226.96,7,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,Domestic Series,111102.3867,0,111102.3867,8,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,State and Local Government Series,116843.6448,0,116843.6448,10,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,United States Savings Securities,148286.121,0,148286.121,11,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,Government Account Series,297681.7225,6016399.563,6314081.286,12,2021,1,2020,4,10,31
31/10/2020,Nonmarketable,Other,2672.095292,0,2672.095292,13,2021,1,2020,4,10,31
31/10/2020,Total Nonmarketable,_,676850.3123,6016399.563,6693249.701,14,2021,1,2020,4,10,31
31/10/2020,Total Public Debt Outstanding,_,21096974.62,6038502.216,27135476.66,15,2021,1,2020,4,10,31
30/09/2020,Marketable,Bills,5028126.646,781.005,5028907.651,1,2020,4,2020,3,9,30
30/09/2020,Marketable,Notes,10655969.48,7794.1734,10663763.66,2,2020,4,2020,3,9,30
30/09/2020,Marketable,Bonds,2668116.12,5376.6729,2673492.792,3,2020,4,2020,3,9,30
30/09/2020,Marketable,Treasury Inflation-Protected Securities,1522417.767,772.8237421,1523190.591,4,2020,4,2020,3,9,30
30/09/2020,Marketable,Floating Rate Notes,478319.7741,4.125,478323.8991,5,2020,4,2020,3,9,30
30/09/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,9,30
30/09/2020,Total Marketable,_,20352949.79,21990.65704,20374940.45,7,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,Domestic Series,116099.8453,0,116099.8453,8,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,State and Local Government Series,106606.7269,0,106606.7269,10,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,United States Savings Securities,148677.458,0,148677.458,11,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,Government Account Series,291831.366,5904448.457,6196279.823,12,2020,4,2020,3,9,30
30/09/2020,Nonmarketable,Other,2522.539508,0,2522.539508,13,2020,4,2020,3,9,30
30/09/2020,Total Nonmarketable,_,666002.2777,5904448.457,6570450.735,14,2020,4,2020,3,9,30
30/09/2020,Total Public Debt Outstanding,_,21018952.07,5926439.114,26945391.18,15,2020,4,2020,3,9,30
31/08/2020,Marketable,Bills,5075874.722,846.721,5076721.443,1,2020,4,2020,3,8,31
31/08/2020,Marketable,Notes,10516332.29,7699.5683,10524031.86,2,2020,4,2020,3,8,31
31/08/2020,Marketable,Bonds,2619323.338,5212.0582,2624535.396,3,2020,4,2020,3,8,31
31/08/2020,Marketable,Treasury Inflation-Protected Securities,1501097.193,774.7870805,1501871.98,4,2020,4,2020,3,8,31
31/08/2020,Marketable,Floating Rate Notes,456321.8222,2.01,456323.8322,5,2020,4,2020,3,8,31
31/08/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,8,31
31/08/2020,Total Marketable,_,20168949.37,21797.00158,20190746.37,7,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,Domestic Series,116094.1872,0,116094.1872,8,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,State and Local Government Series,95900.75613,0,95900.75613,10,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,United States Savings Securities,149076.9202,0,149076.9202,11,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,Government Account Series,289278.9559,5885000.455,6174279.411,12,2020,4,2020,3,8,31
31/08/2020,Nonmarketable,Other,2473.859369,0,2473.859369,13,2020,4,2020,3,8,31
31/08/2020,Total Nonmarketable,_,653089.0207,5885000.455,6538089.476,14,2020,4,2020,3,8,31
31/08/2020,Total Public Debt Outstanding,_,20822038.39,5906797.457,26728835.85,15,2020,4,2020,3,8,31
31/07/2020,Marketable,Bills,5078132.803,808.115,5078940.918,1,2020,4,2020,3,7,31
31/07/2020,Marketable,Notes,10419741.72,7887.1411,10427628.86,2,2020,4,2020,3,7,31
31/07/2020,Marketable,Bonds,2567980.571,4978.7562,2572959.327,3,2020,4,2020,3,7,31
31/07/2020,Marketable,Treasury Inflation-Protected Securities,1485914.552,834.8223036,1486749.374,4,2020,4,2020,3,7,31
31/07/2020,Marketable,Floating Rate Notes,434321.5964,2.01,434323.6064,5,2020,4,2020,3,7,31
31/07/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,4,2020,3,7,31
31/07/2020,Total Marketable,_,19986091.24,21772.7016,20007863.94,7,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,Domestic Series,116088.5034,0,116088.5034,8,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,State and Local Government Series,91850.68192,0,91850.68192,10,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,United States Savings Securities,149447.7613,0,149447.7613,11,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,Government Account Series,288268.4853,5868780.883,6157049.368,12,2020,4,2020,3,7,31
31/07/2020,Nonmarketable,Other,2389.312857,0,2389.312857,13,2020,4,2020,3,7,31
31/07/2020,Total Nonmarketable,_,648308.0867,5868780.883,6517089.97,14,2020,4,2020,3,7,31
31/07/2020,Total Public Debt Outstanding,_,20634400.33,5890553.585,26524952.91,15,2020,4,2020,3,7,31
30/06/2020,Marketable,Bills,5078832.693,793.381,5079626.074,1,2020,3,2020,2,6,30
30/06/2020,Marketable,Notes,10306753,7711.97,10314464.97,2,2020,3,2020,2,6,30
30/06/2020,Marketable,Bonds,2528443.718,4916.9258,2533360.644,3,2020,3,2020,2,6,30
30/06/2020,Marketable,Treasury Inflation-Protected Securities,1508646.89,837.5680348,1509484.458,4,2020,3,2020,2,6,30
30/06/2020,Marketable,Floating Rate Notes,461766.9522,0,461766.9522,5,2020,3,2020,2,6,30
30/06/2020,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2020,3,2020,2,6,30
30/06/2020,Total Marketable,_,19884443.26,21521.70183,19905964.96,7,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,Domestic Series,121106.7507,0,121106.7507,8,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,State and Local Government Series,89241.95756,0,89241.95756,10,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,United States Savings Securities,149819.1276,0,149819.1276,11,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,Government Account Series,283019.5372,5925441.178,6208460.715,12,2020,3,2020,2,6,30
30/06/2020,Nonmarketable,Other,2382.775727,0,2382.775727,13,2020,3,2020,2,6,30
30/06/2020,Total Nonmarketable,_,645835.4907,5925441.178,6571275.668,14,2020,3,2020,2,6,30
30/06/2020,Total Public Debt Outstanding,_,20530277.75,5946962.879,26477240.63,15,2020,3,2020,2,6,30
31/05/2020,Marketable,Bills,4629046.2,872.441,4629918.641,1,2020,3,2020,2,5,31
31/05/2020,Marketable,Notes,10168689.4,8023.7888,10176713.19,2,2020,3,2020,2,5,31
31/05/2020,Marketable,Bonds,2467632.19,5033.4901,2472665.681,3,2020,3,2020,2,5,31
31/05/2020,Marketable,Treasury Inflation-Protected Securities,1501322.41,843.2832481,1502165.693,4,2020,3,2020,2,5,31
31/05/2020,Marketable,Floating Rate Notes,441767.0408,0,441767.0408,5,2020,3,2020,2,5,31
31/05/2020,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,3,2020,2,5,31
31/05/2020,Total Marketable,_,19208457.24,23582.20115,19232039.44,7,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,Domestic Series,80723.80868,0,80723.80868,8,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,State and Local Government Series,88607.9878,0,88607.9878,10,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,United States Savings Securities,150082.8785,0,150082.8785,11,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,Government Account Series,282213.6514,5909896.199,6192109.85,12,2020,3,2020,2,5,31
31/05/2020,Nonmarketable,Other,2432.060794,0,2432.060794,13,2020,3,2020,2,5,31
31/05/2020,Total Nonmarketable,_,604323.7291,5909896.199,6514220.928,14,2020,3,2020,2,5,31
31/05/2020,Total Public Debt Outstanding,_,19812781.97,5933479.4,25746260.37,15,2020,3,2020,2,5,31
30/04/2020,Marketable,Bills,4000897.415,875.791,4001773.206,1,2020,3,2020,2,4,30
30/04/2020,Marketable,Notes,10155648.01,8078.6808,10163726.7,2,2020,3,2020,2,4,30
30/04/2020,Marketable,Bonds,2441632.251,4980.8687,2446613.12,3,2020,3,2020,2,4,30
30/04/2020,Marketable,Treasury Inflation-Protected Securities,1492074.905,839.6338995,1492914.539,4,2020,3,2020,2,4,30
30/04/2020,Marketable,Floating Rate Notes,421767.2826,0,421767.2826,5,2020,3,2020,2,4,30
30/04/2020,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,3,2020,2,4,30
30/04/2020,Total Marketable,_,18512019.87,23584.1724,18535604.04,7,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,Domestic Series,25473.112,0,25473.112,8,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,State and Local Government Series,87257.44884,0,87257.44884,10,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,United States Savings Securities,150101.0609,0,150101.0609,11,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,Government Account Series,276049.3298,5896968.781,6173018.111,12,2020,3,2020,2,4,30
30/04/2020,Nonmarketable,Other,2453.752987,0,2453.752987,13,2020,3,2020,2,4,30
30/04/2020,Total Nonmarketable,_,541599.0465,5896968.781,6438567.828,14,2020,3,2020,2,4,30
30/04/2020,Total Public Debt Outstanding,_,19053618.91,5920552.953,24974171.87,15,2020,3,2020,2,4,30
31/03/2020,Marketable,Bills,2657089.158,350.191,2657439.349,1,2020,2,2020,1,3,31
31/03/2020,Marketable,Notes,10084216.89,8280.5423,10092497.44,2,2020,2,2020,1,3,31
31/03/2020,Marketable,Bonds,2424352.707,5204.4822,2429557.189,3,2020,2,2020,1,3,31
31/03/2020,Marketable,Treasury Inflation-Protected Securities,1524472.275,1004.767613,1525477.043,4,2020,2,2020,1,3,31
31/03/2020,Marketable,Floating Rate Notes,449005.9234,20.615,449026.5384,5,2020,2,2020,1,3,31
31/03/2020,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,2,2020,1,3,31
31/03/2020,Total Marketable,_,17139136.96,23669.79611,17162806.75,7,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,Domestic Series,25473.112,0,25473.112,8,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,State and Local Government Series,84402.01359,0,84402.01359,10,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,United States Savings Securities,150008.4897,0,150008.4897,11,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,Government Account Series,273375.2689,5988430.372,6261803.641,12,2020,2,2020,1,3,31
31/03/2020,Nonmarketable,Other,2111.649729,0,2111.649729,13,2020,2,2020,1,3,31
31/03/2020,Total Nonmarketable,_,535633.8759,5988430.372,6524064.248,14,2020,2,2020,1,3,31
31/03/2020,Total Public Debt Outstanding,_,17674770.83,6012100.168,23686871,15,2020,2,2020,1,3,31
29/02/2020,Marketable,Bills,2564220.022,363.078,2564583.1,1,2020,2,2020,1,2,29
29/02/2020,Marketable,Notes,9985777.397,8497.6318,9994275.029,2,2020,2,2020,1,2,29
29/02/2020,Marketable,Bonds,2408017.043,5525.005,2413542.048,3,2020,2,2020,1,2,29
29/02/2020,Marketable,Treasury Inflation-Protected Securities,1505312.348,977.0622802,1506289.41,4,2020,2,2020,1,2,29
29/02/2020,Marketable,Floating Rate Notes,431019.9553,6.5,431026.4553,5,2020,2,2020,1,2,29
29/02/2020,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,2,2020,1,2,29
29/02/2020,Total Marketable,_,16894346.77,24178.47508,16918525.24,7,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,Domestic Series,25473.112,0,25473.112,8,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,State and Local Government Series,76748.29516,0,76748.29516,10,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,United States Savings Securities,150368.9748,0,150368.9748,11,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,Government Account Series,263844.678,5972731.408,6236576.086,12,2020,2,2020,1,2,29
29/02/2020,Nonmarketable,Other,2002.99961,0,2002.99961,13,2020,2,2020,1,2,29
29/02/2020,Total Nonmarketable,_,518703.4016,5972731.408,6491433.809,14,2020,2,2020,1,2,29
29/02/2020,Total Public Debt Outstanding,_,17413050.17,5996908.883,23409959.05,15,2020,2,2020,1,2,29
31/01/2020,Marketable,Bills,2403862.038,428.728,2404290.766,1,2020,2,2020,1,1,31
31/01/2020,Marketable,Notes,9990403.133,8332.8188,9998735.952,2,2020,2,2020,1,1,31
31/01/2020,Marketable,Bonds,2390076.11,5492.7337,2395568.844,3,2020,2,2020,1,1,31
31/01/2020,Marketable,Treasury Inflation-Protected Securities,1498585.456,985.3957666,1499570.851,4,2020,2,2020,1,1,31
31/01/2020,Marketable,Floating Rate Notes,412991.4251,35.06,413026.4851,5,2020,2,2020,1,1,31
31/01/2020,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,2,2020,1,1,31
31/01/2020,Total Marketable,_,16695918.16,24083.93427,16720002.1,7,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,Domestic Series,25473.112,0,25473.112,8,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,Foreign Series,264.342,0,264.342,9,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,State and Local Government Series,73719.95638,0,73719.95638,10,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,United States Savings Securities,150728.6158,0,150728.6158,11,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,Government Account Series,264486.9593,5987094.177,6251581.136,12,2020,2,2020,1,1,31
31/01/2020,Nonmarketable,Other,2043.647567,0,2043.647567,13,2020,2,2020,1,1,31
31/01/2020,Total Nonmarketable,_,516716.633,5987094.177,6503810.81,14,2020,2,2020,1,1,31
31/01/2020,Total Public Debt Outstanding,_,17212634.79,6011178.111,23223812.91,15,2020,2,2020,1,1,31
31/12/2019,Marketable,Bills,2416416.754,447.469,2416864.223,1,2020,1,2019,4,12,31
31/12/2019,Marketable,Notes,9920786.326,8444.271,9929230.597,2,2020,1,2019,4,12,31
31/12/2019,Marketable,Bonds,2373512.972,5544.2624,2379057.235,3,2020,1,2019,4,12,31
31/12/2019,Marketable,Treasury Inflation-Protected Securities,1506394.499,970.3345108,1507364.834,4,2020,1,2019,4,12,31
31/12/2019,Marketable,Floating Rate Notes,440782.9846,27.075,440810.0596,5,2020,1,2019,4,12,31
31/12/2019,Marketable,Federal Financing Bank,0,8809.198,8809.198,6,2020,1,2019,4,12,31
31/12/2019,Total Marketable,_,16657893.54,24242.60991,16682136.15,7,2020,1,2019,4,12,31
